image,tag,reference,tag_source
docker.io/library/golang,1,docker.io/library/golang:1,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-alpine,docker.io/library/golang:1-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-alpine3.22,docker.io/library/golang:1-alpine3.22,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-alpine3.23,docker.io/library/golang:1-alpine3.23,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-alpine3.24,docker.io/library/golang:1-alpine3.24,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-bookworm,docker.io/library/golang:1-bookworm,https://hub.docker.com/r/library/golang
docker.io/library/golang,1-trixie,docker.io/library/golang:1-trixie,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10,docker.io/library/golang:1.10,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10-alpine,docker.io/library/golang:1.10-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10-alpine3.7,docker.io/library/golang:1.10-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10-alpine3.8,docker.io/library/golang:1.10-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10-alpine3.9,docker.io/library/golang:1.10-alpine3.9,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.0,docker.io/library/golang:1.10.0,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.0-alpine,docker.io/library/golang:1.10.0-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.0-alpine3.7,docker.io/library/golang:1.10.0-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.1,docker.io/library/golang:1.10.1,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.1-alpine,docker.io/library/golang:1.10.1-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.1-alpine3.7,docker.io/library/golang:1.10.1-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.2,docker.io/library/golang:1.10.2,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.2-alpine,docker.io/library/golang:1.10.2-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.2-alpine3.7,docker.io/library/golang:1.10.2-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.3,docker.io/library/golang:1.10.3,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.3-alpine,docker.io/library/golang:1.10.3-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.3-alpine3.7,docker.io/library/golang:1.10.3-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.3-alpine3.8,docker.io/library/golang:1.10.3-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.4,docker.io/library/golang:1.10.4,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.4-alpine,docker.io/library/golang:1.10.4-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.4-alpine3.7,docker.io/library/golang:1.10.4-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.4-alpine3.8,docker.io/library/golang:1.10.4-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.5,docker.io/library/golang:1.10.5,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.5-alpine,docker.io/library/golang:1.10.5-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.5-alpine3.7,docker.io/library/golang:1.10.5-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.5-alpine3.8,docker.io/library/golang:1.10.5-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.6,docker.io/library/golang:1.10.6,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.6-alpine,docker.io/library/golang:1.10.6-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.6-alpine3.7,docker.io/library/golang:1.10.6-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.6-alpine3.8,docker.io/library/golang:1.10.6-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.7,docker.io/library/golang:1.10.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.7-alpine,docker.io/library/golang:1.10.7-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.7-alpine3.7,docker.io/library/golang:1.10.7-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.7-alpine3.8,docker.io/library/golang:1.10.7-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.8,docker.io/library/golang:1.10.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.8-alpine,docker.io/library/golang:1.10.8-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.8-alpine3.7,docker.io/library/golang:1.10.8-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.8-alpine3.8,docker.io/library/golang:1.10.8-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.10.8-alpine3.9,docker.io/library/golang:1.10.8-alpine3.9,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11,docker.io/library/golang:1.11,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.0,docker.io/library/golang:1.11.0,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.0-alpine,docker.io/library/golang:1.11.0-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.0-alpine3.7,docker.io/library/golang:1.11.0-alpine3.7,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.0-alpine3.8,docker.io/library/golang:1.11.0-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.1,docker.io/library/golang:1.11.1,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.10,docker.io/library/golang:1.11.10,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.10-alpine,docker.io/library/golang:1.11.10-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.10-alpine3.8,docker.io/library/golang:1.11.10-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.10-alpine3.9,docker.io/library/golang:1.11.10-alpine3.9,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.11,docker.io/library/golang:1.11.11,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.11-alpine,docker.io/library/golang:1.11.11-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.11-alpine3.8,docker.io/library/golang:1.11.11-alpine3.8,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.11-alpine3.9,docker.io/library/golang:1.11.11-alpine3.9,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.11-alpine3.10,docker.io/library/golang:1.11.11-alpine3.10,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.12,docker.io/library/golang:1.11.12,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.12-alpine,docker.io/library/golang:1.11.12-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.12-alpine3.9,docker.io/library/golang:1.11.12-alpine3.9,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.12-alpine3.10,docker.io/library/golang:1.11.12-alpine3.10,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.11.13,docker.io/library/golang:1.11.13,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25,docker.io/library/golang:1.25,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-alpine,docker.io/library/golang:1.25-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-alpine3.22,docker.io/library/golang:1.25-alpine3.22,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-alpine3.23,docker.io/library/golang:1.25-alpine3.23,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-alpine3.24,docker.io/library/golang:1.25-alpine3.24,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-bookworm,docker.io/library/golang:1.25-bookworm,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25-trixie,docker.io/library/golang:1.25-trixie,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11,docker.io/library/golang:1.25.11,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-alpine,docker.io/library/golang:1.25.11-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-alpine3.22,docker.io/library/golang:1.25.11-alpine3.22,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-alpine3.23,docker.io/library/golang:1.25.11-alpine3.23,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-alpine3.24,docker.io/library/golang:1.25.11-alpine3.24,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-bookworm,docker.io/library/golang:1.25.11-bookworm,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.11-trixie,docker.io/library/golang:1.25.11-trixie,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12,docker.io/library/golang:1.25.12,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12-alpine,docker.io/library/golang:1.25.12-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12-alpine3.23,docker.io/library/golang:1.25.12-alpine3.23,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12-alpine3.24,docker.io/library/golang:1.25.12-alpine3.24,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12-bookworm,docker.io/library/golang:1.25.12-bookworm,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.25.12-trixie,docker.io/library/golang:1.25.12-trixie,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26,docker.io/library/golang:1.26,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26-alpine,docker.io/library/golang:1.26-alpine,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26-alpine3.22,docker.io/library/golang:1.26-alpine3.22,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26-alpine3.23,docker.io/library/golang:1.26-alpine3.23,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26-alpine3.24,docker.io/library/golang:1.26-alpine3.24,https://hub.docker.com/r/library/golang
docker.io/library/golang,1.26-bookworm,docker.io/library/golang:1.26-bookworm,https://hub.docker.com/r/library/golang
