source_reference,source_used,platform_digest,destination
docker.io/library/golang:1,mirror.gcr.io/library/golang:1,sha256:dbb10bd1b3400ba0858e2f7c354fd4556b782c187feeff52789d4ee156a84db8,localhost:18080/issue478/issue478-golang:1
docker.io/library/golang:1-alpine,mirror.gcr.io/library/golang:1-alpine,sha256:111d79159b2326f7e80c4a4706e1ba166acb0e2611df853955f3621828cd49e8,localhost:18080/issue478/issue478-golang:1-alpine
docker.io/library/golang:1-alpine3.22,mirror.gcr.io/library/golang:1-alpine3.22,sha256:457d8584db11412777c4196146b8060fdaabe0b0ba7b62c553d08e07d8c22bd3,localhost:18080/issue478/issue478-golang:1-alpine3.22
docker.io/library/golang:1-alpine3.23,mirror.gcr.io/library/golang:1-alpine3.23,sha256:73f9732658b30852522ee5ebe698daa27e1829add9a70ff4f4a828409f8d0a99,localhost:18080/issue478/issue478-golang:1-alpine3.23
docker.io/library/golang:1-alpine3.24,mirror.gcr.io/library/golang:1-alpine3.24,sha256:111d79159b2326f7e80c4a4706e1ba166acb0e2611df853955f3621828cd49e8,localhost:18080/issue478/issue478-golang:1-alpine3.24
docker.io/library/golang:1-bookworm,mirror.gcr.io/library/golang:1-bookworm,sha256:3f6236bd765f898a2a3c2946112b04097814c4529d44534674700cd07b9c6b4c,localhost:18080/issue478/issue478-golang:1-bookworm
docker.io/library/golang:1-trixie,mirror.gcr.io/library/golang:1-trixie,sha256:dbb10bd1b3400ba0858e2f7c354fd4556b782c187feeff52789d4ee156a84db8,localhost:18080/issue478/issue478-golang:1-trixie
docker.io/library/golang:1.10,mirror.gcr.io/library/golang:1.10,sha256:eac40ba14416262e26def90a2d6f10d6ff579ea61c267963f6cbfbbe63b0ea7b,localhost:18080/issue478/issue478-golang:1.10
docker.io/library/golang:1.10-alpine,mirror.gcr.io/library/golang:1.10-alpine,sha256:565ad18e011a417bb20dae206b9aff68d4c1daf84c58b84f30f512b74c57f0c7,localhost:18080/issue478/issue478-golang:1.10-alpine
docker.io/library/golang:1.10-alpine3.7,mirror.gcr.io/library/golang:1.10-alpine3.7,sha256:020f05646295cf35af1ec044ea20d671fec0e7e072c615561b11fd3ccfdb857e,localhost:18080/issue478/issue478-golang:1.10-alpine3.7
docker.io/library/golang:1.10-alpine3.8,mirror.gcr.io/library/golang:1.10-alpine3.8,sha256:4e2f1325c4559ab4f42dfd0bb710a12778a7717cfc1f9ab172be30ca741ec064,localhost:18080/issue478/issue478-golang:1.10-alpine3.8
docker.io/library/golang:1.10-alpine3.9,mirror.gcr.io/library/golang:1.10-alpine3.9,sha256:565ad18e011a417bb20dae206b9aff68d4c1daf84c58b84f30f512b74c57f0c7,localhost:18080/issue478/issue478-golang:1.10-alpine3.9
docker.io/library/golang:1.10.0,mirror.gcr.io/library/golang:1.10.0,sha256:0c4109858680d4cede075491298de88b5d3df24380c328f7be417d22282acb8b,localhost:18080/issue478/issue478-golang:1.10.0
docker.io/library/golang:1.10.0-alpine,mirror.gcr.io/library/golang:1.10.0-alpine,sha256:f336d17914ab059ea289f160783845f01ccdff61bb6407d2edb3b7fcd47c15da,localhost:18080/issue478/issue478-golang:1.10.0-alpine
docker.io/library/golang:1.10.0-alpine3.7,mirror.gcr.io/library/golang:1.10.0-alpine3.7,sha256:f336d17914ab059ea289f160783845f01ccdff61bb6407d2edb3b7fcd47c15da,localhost:18080/issue478/issue478-golang:1.10.0-alpine3.7
docker.io/library/golang:1.10.1,mirror.gcr.io/library/golang:1.10.1,sha256:f0fdc456f6c882319d853d3252d94a1ea80007be095e2547dcca473c5ad39954,localhost:18080/issue478/issue478-golang:1.10.1
docker.io/library/golang:1.10.1-alpine,mirror.gcr.io/library/golang:1.10.1-alpine,sha256:8feac1bd797378827a82529e8d31290799df5a637235f10220355d6268f6eecd,localhost:18080/issue478/issue478-golang:1.10.1-alpine
docker.io/library/golang:1.10.1-alpine3.7,mirror.gcr.io/library/golang:1.10.1-alpine3.7,sha256:8feac1bd797378827a82529e8d31290799df5a637235f10220355d6268f6eecd,localhost:18080/issue478/issue478-golang:1.10.1-alpine3.7
docker.io/library/golang:1.10.2,mirror.gcr.io/library/golang:1.10.2,sha256:252b378f3a6f78e82c9421bd11ab9e95f031f4fc33e21b6a06c3e6501b4d18e9,localhost:18080/issue478/issue478-golang:1.10.2
docker.io/library/golang:1.10.2-alpine,mirror.gcr.io/library/golang:1.10.2-alpine,sha256:bb31085d5c5db578edf3d4e5541cfb949b713bb7018bbac4dfd407b2017ef5b8,localhost:18080/issue478/issue478-golang:1.10.2-alpine
docker.io/library/golang:1.10.2-alpine3.7,mirror.gcr.io/library/golang:1.10.2-alpine3.7,sha256:bb31085d5c5db578edf3d4e5541cfb949b713bb7018bbac4dfd407b2017ef5b8,localhost:18080/issue478/issue478-golang:1.10.2-alpine3.7
docker.io/library/golang:1.10.3,mirror.gcr.io/library/golang:1.10.3,sha256:14166e0e15f33b4d09cd274e0b7217ef1075b71ec108719cead2c326717bb60b,localhost:18080/issue478/issue478-golang:1.10.3
docker.io/library/golang:1.10.3-alpine,mirror.gcr.io/library/golang:1.10.3-alpine,sha256:0e69918e384104a20955392fb989bcfb054099353e6c51131db0c3646fa066ac,localhost:18080/issue478/issue478-golang:1.10.3-alpine
docker.io/library/golang:1.10.3-alpine3.7,mirror.gcr.io/library/golang:1.10.3-alpine3.7,sha256:3823a8f5c8ffaa675acec3c738068a76d3be54c0875005251974c9e0eeb8058b,localhost:18080/issue478/issue478-golang:1.10.3-alpine3.7
